name,id,t_id,begin_fy,govt_type
Community Reinvestment Agency of Magna,0011K000024ZWDCQA4,1680,2019-01-01,Redevelopment_Agency_Project_Area
Central Utah 911,0011K000026SCeZQAW,1679,2018-07-01,Interlocal
Bear Lake Regional Commission,0014100000rD0xGAAS,1601,2017-07-01,AOG
Bear River Association of Governments,0014100000rD0xHAAS,881,2017-07-01,AOG
Cache Metropolitan Planning Organization,0014100000rD0xIAAS,1451,2017-07-01,AOG
Five County Association of Governments,0014100000rD0xJAAS,885,2017-07-01,AOG
Mountainland Association of Governments,0014100000rD0xKAAS,895,2017-07-01,AOG
Six County Association of Governments,0014100000rD0xLAAS,905,2017-07-01,AOG
Southeastern Utah Association of Governments,0014100000rD0xMAAS,911,2017-07-01,AOG
Uintah Basin Association of Governments,0014100000rD0xNAAS,923,2017-07-01,AOG
Wasatch Front Regional Council,0014100000rD0xOAAS,949,2017-07-01,AOG
Alpine City,0014100000rD0zJAAS,355,2017-07-01,City
American Fork City,0014100000rD0zKAAS,359,2017-07-01,City
Aurora City,0014100000rD0zLAAS,361,2017-07-01,City
Ballard Town,0014100000rD0zMAAS,1107,2017-07-01,City
Bear River City,0014100000rD0zNAAS,1223,2017-07-01,City
Beaver City,0014100000rD0zOAAS,363,2017-07-01,City
Blanding City,0014100000rD0zPAAS,365,2017-07-01,City
Bluffdale City,0014100000rD0zQAAS,367,2017-07-01,City
Bountiful City,0014100000rD0zRAAS,369,2017-07-01,City
Brigham City,0014100000rD0zSAAS,373,2017-07-01,City
Castle Dale City,0014100000rD0zTAAS,1590,2017-07-01,City
Cedar City,0014100000rD0zUAAS,377,2017-07-01,City
Cedar Hills City,0014100000rD0zVAAS,379,2017-07-01,City
Centerfield City,0014100000rD0zWAAS,1025,2017-07-01,City
Centerville City,0014100000rD0zXAAS,381,2017-07-01,City
Clearfield City,0014100000rD0zYAAS,383,2017-07-01,City
Clinton City,0014100000rD0zZAAS,385,2017-07-01,City
Coalville City,0014100000rD0zaAAC,387,2017-07-01,City
Cottonwood Heights,0014100000rD0zbAAC,389,2017-07-01,City
Delta City,0014100000rD0zcAAC,391,2017-07-01,City
Draper City,0014100000rD0zdAAC,393,2017-07-01,City
Duchesne City,0014100000rD0zeAAC,395,2017-07-01,City
Eagle Mountain City,0014100000rD0zfAAC,397,2017-07-01,City
Elk Ridge City,0014100000rD0zhAAC,401,2017-07-01,City
Enoch City,0014100000rD0ziAAC,405,2017-07-01,City
Enterprise City,0014100000rD0zjAAC,407,2017-07-01,City
Ephraim City,0014100000rD0zkAAC,409,2017-07-01,City
Escalante City,0014100000rD0zlAAC,411,2017-07-01,Town
Eureka City,0014100000rD0zmAAC,1155,2017-07-01,City
Fairview City,0014100000rD0znAAC,413,2017-07-01,City
Farmington City,0014100000rD0zoAAC,415,2017-07-01,City
Farr West City,0014100000rD0zpAAC,417,2017-07-01,City
Ferron City,0014100000rD0zqAAC,419,2017-07-01,City
Fillmore City,0014100000rD0zrAAC,421,2017-07-01,City
Fountain Green City,0014100000rD0zsAAC,1065,2017-07-01,City
Fruit Heights City,0014100000rD0ztAAC,425,2017-07-01,City
Garland City,0014100000rD0zuAAC,429,2017-07-01,City
Genola Town,0014100000rD0zvAAC,1019,2017-07-01,City
Grantsville City,0014100000rD0zwAAC,431,2017-07-01,City
Green River City,0014100000rD0zxAAC,433,2017-07-01,City
Gunnison City,0014100000rD0zyAAC,435,2017-07-01,City
Harrisville City,0014100000rD0zzAAC,437,2017-07-01,City
Heber City,0014100000rD100AAC,439,2017-07-01,City
Helper City,0014100000rD101AAC,441,2017-07-01,City
Herriman City,0014100000rD102AAC,443,2017-07-01,City
Highland City,0014100000rD103AAC,445,2017-07-01,City
Hildale City,0014100000rD104AAC,447,2017-07-01,City
Holladay City,0014100000rD105AAC,451,2017-07-01,City
Honeyville City,0014100000rD106AAC,1269,2017-07-01,City
Hooper City,0014100000rD107AAC,453,2017-07-01,City
Huntington City,0014100000rD108AAC,455,2017-07-01,City
Hurricane City,0014100000rD109AAC,457,2017-07-01,City
Hyde Park City,0014100000rD10AAAS,459,2017-07-01,City
Hyrum City,0014100000rD10BAAS,461,2017-07-01,City
Ivins City,0014100000rD10CAAS,463,2017-07-01,City
Kamas City,0014100000rD10DAAS,465,2017-07-01,City
Kanab City,0014100000rD10EAAS,467,2017-07-01,City
Kaysville City,0014100000rD10FAAS,469,2017-07-01,City
La Verkin City,0014100000rD10GAAS,471,2017-07-01,City
Layton City,0014100000rD10HAAS,473,2017-07-01,City
Lehi City,0014100000rD10IAAS,475,2017-07-01,City
Lewiston City,0014100000rD10JAAS,479,2017-07-01,City
Lindon City,0014100000rD10KAAS,481,2017-07-01,City
Logan City,0014100000rD10LAAS,483,2017-07-01,City
Manti City,0014100000rD10MAAS,485,2017-07-01,City
Mapleton City,0014100000rD10NAAS,487,2017-07-01,City
Marriott-Slaterville City,0014100000rD10TAAS,489,2017-07-01,City
Midvale City,0014100000rD10UAAS,491,2017-07-01,City
Midway City,0014100000rD10VAAS,493,2017-07-01,City
Milford City,0014100000rD10WAAS,495,2017-07-01,City
Millville City,0014100000rD10XAAS,497,2017-07-01,City
Moab City,0014100000rD10YAAS,499,2017-07-01,City
Mona City,0014100000rD10ZAAS,501,2017-07-01,City
Monroe City,0014100000rD10aAAC,503,2017-07-01,City
Monticello City,0014100000rD10bAAC,505,2017-07-01,City
Morgan City,0014100000rD10cAAC,507,2017-07-01,City
Moroni City,0014100000rD10dAAC,509,2017-07-01,City
Mt. Pleasant City,0014100000rD10eAAC,511,2017-07-01,City
Murray City,0014100000rD10fAAC,513,2017-07-01,City
Myton City,0014100000rD10gAAC,1137,2017-07-01,City
Naples City,0014100000rD10hAAC,515,2017-07-01,City
Nephi City,0014100000rD10iAAC,517,2017-07-01,City
Nibley City,0014100000rD10jAAC,519,2017-07-01,City
North Logan City,0014100000rD10kAAC,521,2017-07-01,City
North Ogden City,0014100000rD10lAAC,523,2017-07-01,City
"North Salt Lake, City of",0014100000rD10mAAC,525,2017-07-01,City
Oakley City,0014100000rD10nAAC,527,2017-07-01,City
Ogden City,0014100000rD10oAAC,529,2017-07-01,City
Orangeville City,0014100000rD10pAAC,1143,2017-07-01,City
Orem City,0014100000rD10qAAC,531,2017-07-01,City
Panguitch City,0014100000rD10rAAC,533,2017-07-01,City
Park City,0014100000rD10sAAC,535,2017-07-01,City
Parowan City,0014100000rD10tAAC,537,2017-07-01,City
Payson City,0014100000rD10uAAC,539,2017-07-01,City
Perry City,0014100000rD10vAAC,541,2017-07-01,City
Plain City,0014100000rD10wAAC,543,2017-07-01,City
Pleasant Grove City,0014100000rD10xAAC,545,2017-07-01,City
Pleasant View City,0014100000rD10yAAC,547,2017-07-01,City
Price City,0014100000rD10zAAC,549,2017-07-01,City
Providence City,0014100000rD110AAC,551,2017-07-01,City
Provo City,0014100000rD111AAC,553,2017-07-01,City
Richfield City,0014100000rD112AAC,555,2017-07-01,City
Richmond City,0014100000rD113AAC,557,2017-07-01,City
River Heights City,0014100000rD114AAC,841,2017-07-01,City
Riverdale City,0014100000rD115AAC,559,2017-07-01,City
Riverton City,0014100000rD116AAC,561,2017-07-01,City
Roosevelt City,0014100000rD117AAC,563,2017-07-01,City
Roy City,0014100000rD118AAC,565,2017-07-01,City
Salem City,0014100000rD119AAC,567,2017-07-01,City
